"","Nome","IDHM","Gini","pop_menos15","pop_mais60","pop_preta","taxacresc_pop","Dens_demo","Urbanizacao","PIB_percap","Renda_percap","Despesas_percap_saude","Gastos_saude","pop_planosaude","medicos_1000h","prop_nascvivosnormal","taxainter_faltaatencaobasica","mortalidadeinfantil","espec_vida","perc_nascidosvivosBaixoPeso"
"374","Nova Guataporanga",0.726,0.41,0.1944,0.1847,0.2441,0.42,63.77,0.8681,12398.3633798099,964.710043342503,1080.134665281,0.2152,0.0964630225080386,0,0.157894736842105,0.3882576,0,0.7552,0.105913841368585
"192","Gastão Vidigal",0.723,0.42,0.1936,0.1332,0.4479,1.56,23.15,0.8959,15891.071426995,1082.51723995149,688.529113811,0.2119,0.277605533031243,0.24,0.116666666666667,0.3018209,0,0.7403,0.113502021772939
"540","Santo Antonio do Pinhal",0.706,0.47,0.2389,0.1264,0.1669,0.26,48.76,0.5943,13702.7550655332,859.992535245623,568.061776472,0.248,0.0712303422756707,0.46,0.464285714285714,0.07875308,0,0.7369,0.101720373250389
"136","Colômbia",0.71,0.4,0.2221,0.1106,0.4967,0.08,8.22,0.7227,29971.9361710308,877.009130311366,1475.479846199,0.2981,0.237404070737404,0.33,0.106382978723404,0.2852501,0.1064,0.7313,0.0793552099533437
"13","Alto Alegre",0.7,0.35,0.1745,0.1969,0.2814,-0.39,12.86,0.7884,21615.870607195,794.544092685074,1185.794276338,0.3009,0.0648464163822526,0.49,0.243243243243243,0.1510954,0,0.74,0.105913841368585
"217","Holambra",0.793,0.54,0.2213,0.0914,0.303,4.58,171.65,0.7243,69039.1932195003,1924.18421128016,1009.111864071,0.2606,0.340207097973272,1.6,0.227777777777778,0.03719447,0.1,0.7766,0.0506998444790047
"440","Pirassununga",0.801,0.51,0.2003,0.1442,0.2536,0.78,96.32,0.9163,35612.0659257157,1598.25096732862,536.003501446,0.1861,0.369358313951,1.71,0.434426229508197,0.1015647,0.1529,0.7803,0.0808528771384137
"159","Dourado",0.738,0.37,0.1871,0.1588,0.206,0.01,41.82,0.914,22491.8938084955,1024.92261049821,612.952408999,0.2667,0.256708096178418,0.35,0.125,0.1330234,0.1124,0.7366,0.080153965785381
"108","Campina do Monte Alegre",0.717,0.53,0.245,0.1278,0.2751,0.69,30.07,0.846,24770.1874561637,791.926154982652,623.568131303,0.1996,0.982575893659062,0,0.325301204819277,0.4659152,0.1235,0.7577,0.0623816485225505
"46","Aspásia",0.735,0.44,0.1802,0.1725,0.3177,-0.3,26.09,0.6949,19444.7595555306,867.846348352889,1099.978827997,0.2018,0.163626312880044,0.55,0.352941176470588,0.2408964,0,0.7683,0.000777604976671851
"11","Altair",0.687,0.42,0.2334,0.1096,0.477,0.78,12.15,0.792,56473.9036526107,943.766541723127,1360.727507089,0.2485,0.090170380078637,0.52,0.2,0.09492812,0,0.73,0.0618824261275272
"147","Cristais Paulista",0.734,0.48,0.2236,0.114,0.3575,1.44,19.67,0.7285,38176.788021765,1090.37105305876,551.927084902,0.2282,0.189377965208224,0.53,0.531914893617021,0.08104738,0,0.7311,0.0743629860031104
"528","Santana da Ponte Pensa",0.773,0.42,0.1479,0.2252,0.1809,-1.43,12.61,0.6683,20211.1121011282,1226.5038135847,1283.612728875,0.1955,0.0383912248628885,0,0.214285714285714,0.1291513,0,0.7541,0.0775580093312597
"213","Guarulhos",0.763,0.51,0.2443,0.0823,0.4527,1.33,3830.34,1,45879.594662686,1216.03206277501,614.792065421,0.2495,0.483360188677547,0.64,0.459561159165323,0.1124152,0.1267,0.7483,0.0957297045101089
"313","Luiziânia",0.702,0.35,0.207,0.1328,0.5714,1.63,30.16,0.9168,18548.5604519436,819.414500858082,829.685046322,0.2892,0.0383697813121272,0.8,0.434782608695652,0.15247,0.1449,0.7388,0.0594861586314152
"336","Mineiros do Tietê",0.73,0.39,0.2243,0.1237,0.3026,0.55,56.43,0.9553,14057.1301624221,1049.79301867122,474.314694705,0.2525,0.0608074430968599,0.42,0.348571428571429,0.1130542,0.1117,0.7439,0.129077760497667
"182","Flora Rica",0.727,0.4,0.1852,0.2063,0.4499,-2.14,7.79,0.8091,28286.6753224115,719.932868166047,1114.153229937,0.1812,0.0382420091324201,0,0.285714285714286,0.2230047,0,0.7274,0.000777604976671851
"282","Jales",0.776,0.46,0.1781,0.1596,0.2106,0.19,127.55,0.941,27410.4560921651,1226.5038135847,416.742496187,0.2051,0.204139368671828,2.6,0.258620689655172,0.2874643,0.1149,0.7632,0.0968279937791602
"326","Mariápolis",0.718,0.37,0.198,0.1527,0.3397,0.15,21.06,0.801,14028.4496197098,827.268313965348,556.978600487,0.1761,0.0270684371807967,0,0.188679245283019,0.4106723,0,0.7478,0.0572895800933126
"428","Pindamonhangaba",0.773,0.52,0.2305,0.102,0.3457,1.56,201.14,0.964,48058.3960806928,1242.21143979923,674.837244703,0.2107,0.325045069560189,1.41,0.263473053892216,0.1286341,0.1279,0.7558,0.0988248833592535
"437","Pirangi",0.756,0.38,0.1813,0.158,0.25,0.57,49.28,0.897,21088.6432173978,1134.87599399993,619.617393741,0.278,0.186293890614704,0.66,0.207547169811321,0.2868303,0.0952,0.7519,0.0577888024883359
"276","Jaborandi",0.711,0.39,0.2062,0.1341,0.3868,0.26,24.1,0.9354,20267.3724086255,818.105532006871,731.444377557,0.1818,0.179763349514563,0.15,0.147727272727273,0.08555286,0.3297,0.7571,0.132472472783826
"135","Colina",0.757,0.46,0.2073,0.1327,0.4055,0.42,41.09,0.9339,36038.2931708824,1055.02889407606,616.330138823,0.19,0.25260491623971,1.15,0.0954545454545455,0.2414167,0.0917,0.7571,0.0793552099533437
"510","Salto Grande",0.704,0.42,0.228,0.1503,0.3292,0.4,46.62,0.9028,22432.0295842221,738.258432083001,552.394538583,0.2698,0.0647547513372027,0.11,0.377952755905512,0.3126497,0.3053,0.745,0.0617825816485226
"333","Meridiano",0.731,0.4,0.1872,0.159,0.2515,-0.42,16.82,0.6937,23094.607421646,1002.67014002762,965.050584849,0.1976,0.219195849546044,0,0.241379310344828,0.1329697,0.3226,0.7404,0.0974270606531882
"280","Jacupiranga",0.717,0.53,0.2643,0.1182,0.4464,0.11,24.44,0.5444,20727.2864742019,880.936036864999,654.661340665,0.3296,0.10500929800093,0.52,0.691983122362869,0.05160803,0.0823,0.7489,0.0582880248833593
"45","Arujá",0.784,0.56,0.2487,0.0828,0.428,2.41,777.84,0.9601,41262.2685523941,1348.23791674732,427.116952075,0.1838,0.343261464521728,1.57,0.432575757575758,0.0443832,0.0927,0.7695,0.0848466562986003
